imdb_title_id,title,year,genre,country,budget,worlwide_gross_income,production_company
tt1212451,April Showers,2009,"Crime, Drama",USA,1100000,16880,April Showers
tt1212909,Broken Hill,2009,"Drama, Family, Music","USA, Australia",2500000,54058,Audience Alliance Motion Picture Studios (AAMPS)
tt1213012,Alfa & Omega,2010,"Animation, Adventure, Comedy","USA, India, Canada",20000000,50507267,Lions Gate Family Entertainment
tt1213641,First Man - Il primo uomo,2018,"Biography, Drama, History","USA, Japan",59000000,105697415,Universal Pictures
tt1213644,Disaster Movie,2008,Comedy,USA,20000000,34816824,Lionsgate
tt1213648,London Boulevard,2010,"Crime, Drama","USA, UK",25000000,8307227,GK Films
tt1213663,La fine del mondo,2013,"Comedy, Sci-Fi","UK, USA, Japan",20000000,46089287,Universal Pictures
tt1213856,Du saram-yida,2007,"Crime, Drama, Horror",South Korea,100000,1820534,Mogabi Pictures
tt1213899,Viaje redondo,2009,Drama,Mexico,1800000,95742,Cadereyta Films
tt12139700,Jungle Beat: The Movie,2020,"Animation, Adventure, Family",Mauritius,8000000,101331,Sandcastle Studios
tt1214962,Solo per vendetta,2011,"Action, Crime, Drama",USA,17000000,14089528,Endgame Entertainment
tt1214974,Men's Group,2008,Drama,Australia,1000000,29321,Song Zu
tt1215458,Box Elder,2008,Comedy,USA,60000,48996,Boxcar Films
tt1215870,Gaven,2008,Drama,Denmark,7463183,174882,SF Studios
tt1216475,Cars 2,2011,"Animation, Adventure, Comedy",USA,200000000,559852396,Walt Disney Pictures
tt1216487,La ragazza che giocava con il fuoco,2009,"Crime, Drama, Mystery","Sweden, Denmark, Germany",4000000,67153225,Yellow Bird
tt1216492,Una proposta per dire sì,2010,"Comedy, Romance","USA, Ireland",19000000,32686500,Universal Pictures
tt1216496,Madre,2009,"Crime, Drama, Thriller",South Korea,5000000,17149348,CJ Entertainment
tt1216520,Womb,2010,"Drama, Romance, Sci-Fi","Germany, Hungary, France",3660000,36257,Razor Film Produktion GmbH
tt1217209,Ribelle: The Brave,2012,"Animation, Adventure, Comedy","USA, UK",185000000,538983207,Walt Disney Pictures
tt1217213,Trilli e il segreto delle ali,2012,"Animation, Family, Fantasy","USA, India, UK",35000000,627018,Walt Disney Pictures
tt1217426,Easier with Practice,2009,"Drama, Romance",USA,1000000,1558,Forty Second Productions
tt1217613,World Invasion,2011,"Action, Sci-Fi",USA,70000000,211819354,Columbia Pictures
tt1217637,Anything for Her,2008,"Crime, Drama, Thriller","France, Spain",7930000,6548942,Fidélité Films
tt1218038,The President Is Coming,2009,Comedy,India,500000,104235,R.S. Entertainment
tt1218345,Dil Kabaddi,2008,"Comedy, Drama",India,80000000,1162680,Indian Film Company
tt1219289,Limitless,2011,"Sci-Fi, Thriller",USA,27000000,161849455,Relativity Media
tt1219342,Il regno di Ga'Hoole - La leggenda dei guardiani,2010,"Animation, Action, Adventure","USA, Australia",80000000,140073390,Warner Bros.
tt1219827,Ghost in the Shell,2017,"Action, Crime, Drama","USA, India, Hong Kong, China, Canada",110000000,169801921,Paramount Pictures
tt1220198,Il quarto tipo,2009,"Horror, Mystery, Sci-Fi","USA, UK",10000000,47719794,Universal Pictures
tt1220213,Grace,2009,"Drama, Horror, Thriller","USA, Canada",5000000,8297,ArieScope Pictures
tt1220214,Heartless,2009,"Drama, Fantasy, Horror",UK,5000000,20435,May 13 Films
tt1220220,Motherhood - Il bello di essere mamma,2009,"Comedy, Drama",USA,5000000,726936,John Wells Productions
